,Exponent,Truth Label,Predicted Label,Confidence
785,0.725,2,1,0.0016806722689075631
786,0.725,2,2,0.826890756302521
787,0.725,2,3,0.03361344537815126
788,0.725,2,4,0.0016806722689075631
789,0.725,2,5,0.0016806722689075631
790,0.725,2,6,0.02689075630252101
791,0.725,2,7,0.10588235294117647
792,0.725,3,0,0.013445378151260505
793,0.725,3,1,0.0016806722689075631
794,0.725,3,2,0.015126050420168067
795,0.725,3,3,0.8252100840336134
796,0.725,3,4,0.018487394957983194
797,0.725,3,5,0.0016806722689075631
798,0.725,3,6,0.0033613445378151263
799,0.725,3,7,0.12100840336134454
800,0.725,4,0,
801,0.725,4,1,
802,0.725,4,2,
803,0.725,4,3,
804,0.725,4,4,
805,0.725,4,5,
806,0.725,4,6,
807,0.725,4,7,
808,0.725,5,0,
809,0.725,5,1,
810,0.725,5,2,
811,0.725,5,3,
812,0.725,5,4,
813,0.725,5,5,
814,0.725,5,6,
815,0.725,5,7,
816,0.725,6,0,
817,0.725,6,1,
818,0.725,6,2,
819,0.725,6,3,
820,0.725,6,4,
821,0.725,6,5,
822,0.725,6,6,
823,0.725,6,7,
824,0.725,7,0,
825,0.725,7,1,
826,0.725,7,2,
827,0.725,7,3,
828,0.725,7,4,
829,0.725,7,5,
830,0.725,7,6,
831,0.725,7,7,
832,0.775,0,0,0.7697160883280757
833,0.775,0,1,0.04574132492113565
834,0.775,0,2,0.00946372239747634
835,0.775,0,3,0.06466876971608833
836,0.775,0,4,0.007886435331230283
837,0.775,0,5,0.0
838,0.775,0,6,0.012618296529968454
839,0.775,0,7,0.08990536277602523
840,0.775,1,0,0.02996845425867508
841,0.775,1,1,0.9621451104100947
842,0.775,1,2,0.0
843,0.775,1,3,0.0031545741324921135
844,0.775,1,4,0.0
845,0.775,1,5,0.0
846,0.775,1,6,0.0031545741324921135
847,0.775,1,7,0.0015772870662460567
848,0.775,2,0,0.0015772870662460567
849,0.775,2,1,0.0
850,0.775,2,2,0.8123028391167192
851,0.775,2,3,0.00946372239747634
852,0.775,2,4,0.0015772870662460567
853,0.775,2,5,0.0031545741324921135
854,0.775,2,6,0.026813880126182965
855,0.775,2,7,0.14511041009463724
856,0.775,3,0,0.017350157728706624
857,0.775,3,1,0.0
858,0.775,3,2,0.011041009463722398
859,0.775,3,3,0.7697160883280757
860,0.775,3,4,0.02365930599369085
861,0.775,3,5,0.0031545741324921135
862,0.775,3,6,0.006309148264984227
